US-Mexico Border;02/03/2020;2;0;2;0;Presumed drowning;Two bodies recovered from the Río Bravo. One between Diaz Ordaz and Reynosa and one at Reynosa, Tamaulipas, Mexico.;26.162714815612, -98.394712116602;https://bit.ly/2wrhrUc
US-Mexico Border;02/03/2020;0;0;1;0;Presumed drowning;Body recoverd from the Río Bravo at Camargo, Tamaulipas, Mexico;26.365243061712, -98.815929094043;https://bit.ly/38E7TT4
Sub-Saharan Africa;01/03/2020;9;0;0;0;Presumed drowning;Between Anjouan, Comoros and Mayotte, France;-12.532785188293, 44.747424369531;https://archive.ph/v2bWI
Europe;29/02/2020;1;1;0;0;Unknown;Evros/Meriç river, south of Edirne, Greece-Turkey border;41.604045565332, 26.595317966782;https://archive.vn/28DF4
Europe;28/02/2020;0;0;3;0;Presumed suffocation;Bodies recovered at Volvi, Thessaloniki, Greece;40.665383100000, 23.525231900000;https://bit.ly/2wahrYD
US-Mexico Border;28/02/2020;3;0;0;0;Presumed drowning;Unspecified location around 1 mile off the shore of Del Mar, San Diego County, California, USA;32.959489100000, -117.265314600000;https://archive.ph/BXr3n
North Africa;27/02/2020;0;0;1;0;Unknown;Unspecified location close to Matorral, Castillo del Romeral, Gran Canaria, Spain;27.800645499852, -15.438462005127;https://bit.ly/397IL8v
US-Mexico Border;24/02/2020;0;0;1;0;Drowning;Rio Bravo, near El Cenizo, Texas ;27.332155800000, -99.503713400000;https://bit.ly/2TgDzZ5
Europe;22/02/2020;0;0;0;0;Vehicle  accident;Near Gramsh, Albania;40.863368361417, 20.185724642006;http://bit.ly/2HOPdVL
Mediterranean;22/02/2020;0;0;1;0;Drowning;Body recovered 10 miles off Palma Bay, Palma de Mallorca, Spain;39.569600500000, 2.650160300000;http://bit.ly/2VDgFOg
US-Mexico Border;21/02/2020;0;0;1;0;Pressumed exposure;Unspecified location in Falfurrias, Brooks County, Texas;27.226987200000, -98.144171400000;https://bit.ly/393HIWX
South America;20/02/2020;0;0;1;1;Sickness;Near Pamplona, Norte de Santander, Colombia;7.378230000000, -72.650336900000;http://bit.ly/2Vj98nQ
US-Mexico Border;19/02/2020;0;0;0;0;Unknown (skeletal remains);Kingsville, Kleburg, Texas;27.515868900000, -97.856109000000;https://bit.ly/393HIWX
Southeast Asia;18/02/2020;0;1;0;0;Vehicle Accident;Ratthaphum-Hat Yai Road in Tambon Tha Chang of Bang Kham district, Thailand - travelling from the Cambodian border to Songkhla province in southern Thailand;7.980647300000, 99.500614300000;https://archive.ph/iIYrA
North Africa;17/02/2020;14;0;0;2;Drowning;Off the coast of Dakhla, Morocco - en route to the Canary Islands, Spain;24.511272338990, -16.862474265116;https://archive.ph/L6dcR
Europe;17/02/2020;0;0;1;0;Presumed exposure;Near Tetovo village of Vejce, North Macedonia;42.006911500000, 20.971526900000;http://mvr.gov.mk/izvadok-od-dnevni-nastani/1773
Mediterranean;14/02/2020;0;0;1;0;Presumed drowning;Remains recovered off the coast of Collo, west of Skikda, wilaya of Skikda, Algeria - departed from Mostaganem on 28 January en route to Spain;37.059484353920, 6.618582917805;https://archive.ph/rQGL6
Mediterranean;14/02/2020;14;0;3;0;Drowning;Unknown location in the Central Mediterranean. Departed from Chetaibi, Annaba, Algeria. 4 bodies recoveredon 27 February at Sidi Machrek and Cap Sirat beaches in Binzer, Tunisia.;37.737329798464, 7.835872317188;https://bit.ly/2uzKxQu
Southeast Asia;11/02/2020;45;12;3;0;Drowning;Bay of Bengal, off the coast of Saint Martin's Island, Bangladesh;20.627155726956, 92.341686188729;https://reut.rs/38trzdj
Central America;11/02/2020;0;0;1;0;Vehicle Accident;Federal highway La Tinaja-Cosoleacaque, Veracruz, Mexico;18.436161666740, -95.960317926108;https://archive.ph/WnNpH
US-Mexico Border;10/02/2020;0;3;0;0;Hypothermia;Laguna mountains, near the Ewiiaapaayp Indian Reservation, San Diego County, California, USA;32.840370753891, -116.414121312760;https://archive.ph/h9you
US-Mexico Border;10/02/2020;0;0;1;0;Vehicle Accident;Road near El Quemado, Maverick County, Texas, USA;28.943172657006, -100.621777660710;https://archive.ph/jcCOx
Europe;10/02/2020;0;0;1;0;Unknown (decomposed remains);Evros River, near Thourio, Greece;41.432732734770, 26.609532560693;http://bit.ly/39XnxtR
Mediterranean;09/02/2020;0;0;0;0;Presumed drowning;Body recovered off the coast of Benabdelmalek Ramdane, near Mostaganem, Algeria;36.193033464956, 0.215419367276;https://archive.ph/xKPTa
Mediterranean;09/02/2020;89;0;0;0;Presumed drowning;Unspecified location around 40km north of Garabulli, Libya. Two bodies were recovered near Dafiniya, near Zliten, Libya.;32.916163342657, 13.697440925781;https://archive.ph/h2GoJ
Central America;08/02/2020;0;0;1;0;Fell from train;Train tracks in Sayula de Alemán, Veracruz, Mexico;17.881233200000, -94.960746100000;https://archive.ph/OBANv
Middle East;08/02/2020;5;0;0;0;Hypothermia;Mountain range in Çaldıran district, Van province, Turkey - near border with Iran;39.142000000000, 43.913999900000;https://archive.ph/CkQNl
North Africa;08/02/2020;7;2;7;0;Hypothermia, Dehydration, Drowning;800km south of El Hierro, Canary Islands, Spain;25.377246148104, -18.573617406250;https://archive.ph/OXvgc
North Africa;06/02/2020;0;0;0;0;Vehicle  accident;Road in Sabha, southwest Libya;27.036540600000, 14.429023600000;http://archive.ph/y8xr3
Central America;04/02/2020;0;0;0;0;Vehicle Accident;Federal Road 180, near San Andrés Tuxtla, Veracruz, Mexico;18.442725594876, -95.242973796818;http://archive.ph/OE1so
Central America;04/02/2020;0;0;1;0;Fell from train;Train tracks near Comunidad Los Chinos, Salvador Alvarado, Sinaloa, Mexico;25.525984979554, -108.166764309490;https://archive.ph/DT5CN
US-Mexico Border;03/02/2020;0;0;1;0;Drowning;Río Bravo, near Sullivan Sur, Díaz Ordaz, Tamaulipas, Mexico;26.233809546529, -98.579014675411;https://archive.ph/nftnG
US-Mexico Border;03/02/2020;0;0;2;0;Drowning;Pacific Ocean, north of the Imperial Beach coast,  San Diego County, California, USA;32.601402755432, -117.152776836690;http://archive.ph/0TZZs
Middle East;02/02/2020;0;0;1;0;Hypothermia;Near Hacıbey stream, Derecik, Hakkâri province, Turkey - near border with Iraq;37.072423000000, 44.324348000000;http://archive.ph/vwaPD
Mediterranean;01/02/2020;4;0;0;0;Drowning;Off the coast of Mostaganem, Algeria;35.975292033894, 0.026091453352;https://archive.ph/q0F1z
Central America;31/01/2020;0;0;1;0;Fell from train;Train tracks in an unspecified location in Mexico;23.634501000000, -102.552784000000;http://archive.ph/W2reS
South America;29/01/2020;0;0;1;0;Drowning;Playa El Murciélago de Manta, Manabí province, Ecuador;-0.939061285528, -80.711961950945;http://archive.ph/9ojTn
